Product_ID,Product_Title,Product_Rating,Category,Discounted_Price,Actual_Price,Discount_Percentage
213,Women Brown Flats,4.3,Women,589,699,15.74%
214,Leather Semi-formals Lace,4.2,Men,1768,5895,70.01%
215,Slides,4,Men,238,999,76.18%
216,Captain-13 Running shoes,3.9,Men,543,802,43.04%
217,Boots For Women,4.4,Women,1049,3699,71.64%
218,Combo New Combination,4,Men,415,799,48.06%
219,Men Beige Sandal,3.5,Men,399,999,60.06%
220,Ketava III DP,4.1,Men,909,1299,30.02%
221,Heel Boots For,4.1,Women,1011,2290,55.85%
222,Lace Up For,3.8,Men,949,2899,67.26%
223,Slippers,4.7,Women,599,1199,50.04%
224,Partywear Ethnic Womens,3.9,Women,299,499,40.08%
225,Women Beige Bellies,4.4,,474,999,52.55%
226,Women Grey Heels,4.1,Women,599,999,40.04%
227,Best Quality Boots,4,,349,999,65.07%
228,TRAVELLAR LP Running,4.2,Men,1500,2999,49.98%
229,Slippers,3.8,,141,499,71.74%
230,Women Brown Heels,4.4,Women,894,1490,40.00%
231,EDGEBOUNCE 1.5 W,4.5,Women,3883,8999,56.85%
232,Walking Shoes For,4.2,Women,664,799,16.90%
233,GO RUN FAST,4.6,Women,2650,5299,49.99%
234,Slides,4,Women,299,999,70.07%
235,Synthetic Leather Casual,4.2,Women,467,999,53.25%
236,Womens Comfort Stylish,3.8,Women,245,499,50.90%
237,Men Brown Sandal,3.9,Men,314,999,68.57%
238,Longwalk Women Casual,4.5,Women,429,454,5.51%
239,Women Brown Wedges,3.7,Women,455,533,14.63%
240,Climber Boots For,4,Men,499,999,50.05%
241,NUM0010 Derby For,3.8,Men,396,799,50.44%
242,Stylish Laser Punch,3.8,Women,399,499,20.04%
243,Women Blue Heels,4.1,Women,449,999,55.06%
244,Women 's Shoes,4.2,Women,459,999,54.05%
245,Running Shoes For,3.8,Men,284,799,64.46%
246,Bk Mojaris For,3.3,Men,699,999,30.03%
247,Ankle Length &,4.1,Women,458,999,54.15%
248,Concave 2 Wn,4.3,Women,2007,3999,49.81%
249,Women Maroon Wedges,4.4,Women,282,799,64.71%
250,Flip Flops,4.1,Men,349,375,6.93%
251,New Trendy Fashionable,4.1,Women,649,998,34.97%
252,Sparx Men's Sc0162g,4,Men,795,1199,33.69%
253,GEL CONTEND 4B+,4.2,Men,1499,3499,57.16%
254,Boots For Women,3.9,Women,2579,4695,45.07%
255,Slippers,3.9,Women,149,229,34.93%
256,Slippers,4,Men,479,649,26.19%
257,Bellies Jutis For,3.8,Women,290,499,41.88%
258,STORMER LS Running,4.3,Women,2267,3999,43.31%
259,RC3526 001 Slip,4.2,Men,1935,4299,54.99%
260,Slides,3.6,Men,320,999,67.97%
261,Bellies For Women,4.3,Women,613,999,38.64%
262,Slippers,4,Men,272,299,9.03%
263,SL-138 Casuals For,4.1,Women,496,625,20.64%
264,ARYA - DIFFERENT,4.2,Women,2364,4299,45.01%
265,Jutis For Women,4,Women,283,632,62.12%
266,SL-172 Women Walking,4.5,Women,798,799,0.13%
267,Women Black Heels,3.9,Women,849,2499,66.03%
268,"Men Red, Black",3.9,Men,554,999,44.54%
269,Women Black Flats,4.4,Women,639,799,20.03%
270,Women SL-126 Grey,4.2,Women,790,949,16.75%
271,Walking Shoes For,4,Women,498,999,50.15%
272,Women Brown Wedges,4.1,Women,243,269,9.67%
273,Kazarmax Women's Walking,4.4,Women,949,949,0.00%
274,Women Off White,4.2,Women,249,599,58.43%
275,Running Shoes For,4.2,Men,569,999,43.04%
276,Puma Smash v2,4.3,Men,1749,3499,50.01%
277,SL-138 Casuals For,4.1,Women,496,625,20.64%
278,Women Gold Wedges,4.3,Women,1418,1890,24.97%
279,Sneakers For Men,4.1,Men,199,499,60.12%
280,Sports shoes/Casual shoes/Walking,3.8,Men,367,999,63.26%
281,Bellies For Women,3.3,Women,399,999,60.06%
282,Ankle Length Stylish,3.9,Men,461,822,50.05%
283,RODEO-2 Running Shoes,4.2,Men,873,999,12.61%
284,Combo Pack of,3.9,Women,420,999,57.96%
285,Mojaris For Men,3.7,Men,616,799,22.90%
286,Men Blue Flats,3.8,Men,379,999,62.06%
287,"Men Yellow, Black,",4.1,Men,569,699,18.60%
288,Slippers,4.1,Women,299,499,40.08%
289,Sneaker-03 Navy Sky,4.1,Men,854,1499,43.03%
290,casual for men,3.9,Men,474,999,52.55%
291,Training & Gym,3.6,Men,329,999,67.07%
292,HAGUES Formal Shoes,3.4,Men,2058,4810,59.99%
293,Women Black Flats,3.8,Women,261,1299,79.91%
294,DOCTOR EXTRA SOFT,4.1,Women,360,599,39.90%
295,WMNS NIKE ZOOM,4.7,Women,4785,7995,40.15%
296,ZF Klub Men's,3.8,Men,449,999,55.06%
297,Flip Flops,3.9,Women,379,999,62.06%
298,Formal Slip On,4.1,Men,626,1497,56.37%
299,Women Off White,4.2,Women,599,1299,53.89%
300,"punjabi jutti ,",3.6,Men,225,670,54.92%
301,Labbin Mens Casual,3.8,Men,348,348,0.00%
302,D'LITES-RUNWAY READY Sneakers,4.8,Women,3574,6499,45.01%
303,Men Brown Flats,3.9,Men,989,999,1.00%
304,Extra Soft Walking,4.3,Women,649,999,35.04%
305,Women Black Wedges,4.3,Women,1021,3183,70.02%
306,Kapani Fashion Bad,4,Men,270,499,45.89%
307,Corporate Derby Lace,4.2,Men,949,999,5.01%
308,Combo Pack of,3.9,Men,698,1999,65.08%
309,Girl's synthetic Leather,4.1,Women,315,599,47.41%
310,Women Gold Wedges,3.7,Women,169,499,66.13%
311,Zapatoz Women's Casual,3.7,Women,499,499,0.00%
312,Boots For Women,4,Women,483,2032,75.04%
313,PEEP-TOE-ANKLE-CUT Bellies For,3.7,Women,299,999,70.07%
314,Trending Sneakers For,4,Men,249,599,58.43%
315,Mojaris For Women,4.1,Women,699,1000,30.10%
316,Women Black Wedges,3.9,Women,719,999,28.03%
317,Women Pink Flats,3.9,Women,181,499,63.73%
318,Men Red Casual,4,Men,474,999,52.55%
319,Boots For Men,4.1,Men,599,999,40.04%
320,Stylish Party Wear,4,Men,549,1499,63.38%
321,Women Brown Heels,4.4,Women,399,599,33.39%
322,Men Brown Sandal,3.9,Men,547,999,45.25%
323,New Fashionable And,4.1,Women,499,999,50.05%
324,Men's Golden Printed,3.8,Men,426,999,57.36%
325,Jutis For Men,4.7,Men,780,999,21.92%
326,Black With Fine,3.6,Men,425,499,14.83%
327,Wedge Heel Wedges,3.5,Women,299,899,66.74%
328,Women Brown Flats,4.4,Women,1383,1895,27.02%
329,Bellies For Women,3.9,,379,1499,74.72%
330,Pepsi Walking Shoes,4.2,Women,664,999,33.53%
331,New Stylish Girls/Women/Ladies,4,Women,385,1017,55.26%
332,GO RUN RIDE,4.5,Women,3250,6499,49.99%
333,PRO-CAP-AW1014 Slip On,3.9,Men,799,1499,46.70%
334,Chevit Latest Fashion,3.8,Men,649,1498,56.68%
335,Men Grey Sandal,3.5,Men,451,671,32.79%
336,RC3509 001 High,4.2,Men,2025,4499,54.99%
337,Jaipuri Women's Traditional,4.7,Women,225,599,62.44%
338,Women Black Wedges,4.1,Women,774,1290,40.00%
339,PERIS Running Shoes,4.1,Men,1823,2399,24.01%
340,Women Brown Heels,4.5,Women,720,799,9.89%
341,Casuals For Men,3.7,Men,534,999,46.55%
342,Boots For Women,4.7,Women,499,999,50.05%
343,US Polo Association,4.2,Men,1350,1799,24.96%
344,ROYALCOMPLETECLN Sneakers For,4.3,Women,2399,3999,40.01%
345,Flip Flops,3.4,Women,299,649,53.93%
346,Slippers,4.2,Women,399,799,50.06%
347,Glitter Jutis For,3.3,Women,281,499,43.69%
348,Sneakers For Women,4.2,Women,549,999,45.05%
349,New Fashionable Waterproof,4,Women,399,799,50.06%
350,Women White Heels,3.4,Women,469,999,53.05%
351,Men Synthetic Leather,3.8,Men,474,999,52.55%
352,ELIZA Running Shoes,3.3,Women,849,899,5.56%
353,Women Multicolor Heels,3.9,Women,386,998,61.32%
354,Women Gold Wedges,3.6,Women,499,999,50.05%
355,Women Beige Heels,4.3,Women,699,999,30.03%
356,WOMEN LEATHER OPEN,4.3,Women,545,999,45.45%
357,Women Black Wedges,4,Women,473,499,5.21%
358,Slides,4,Men,1484,2699,45.02%
359,Flip Flops,3.7,Men,379,999,62.06%
360,Formal Classy Bellies,3.9,Women,424,500,15.20%
361,888 Jutis For,4.2,Men,919,999,8.01%
362,"Casual Loafers, Sneakers",3.8,Women,525,998,47.39%
363,Women Black Heels,4.3,Women,474,999,52.55%
364,"Casual shoes,Running shoes,Walking",4.1,Women,527,798,33.96%
365,Combo pack of,3.6,Women,999,1996,49.95%
366,Women Red Flats,4.2,Women,249,699,64.38%
367,Cosco Blue Light,4,Men,449,999,55.06%
368,Women Grey Wedges,4.3,Women,489,1099,55.51%
369,Socks Stylish Cricket,4,Women,468,999,53.15%
370,Slippers,4,Women,319,1000,68.10%
371,Men Brown Casual,4,Men,379,999,62.06%
372,Sneakers For Men,4.1,Men,398,999,60.16%
373,Jutis For Men,4.1,Men,649,999,35.04%
374,Sneakers For Women,3.5,Women,525,998,47.39%
375,Casual Loafer Sneakers,3.9,Women,589,998,40.98%
376,Flip Flops,3.7,Women,199,499,60.12%
377,Flip Flops,4,Men,271,299,9.36%
378,Women Girl's Fashion,4,Women,273,699,60.94%
379,Trendy Walking Shoes,4,Women,549,999,45.05%
380,Walking Shoes For,3.7,,398,999,60.16%
381,Slides,4.1,Women,284,499,43.09%
382,Slippers,4,Women,168,499,66.33%
383,Boots For Women,3.3,Women,479,999,52.05%
384,Women Black Flats,4.1,Women,304,999,69.57%
385,Zod Runner V3,4.3,Women,1699,3999,57.51%
386,Men Brown Sandal,3.9,Men,468,1299,63.97%
387,Girls Stylish &,4.2,Women,358,999,64.16%
388,Combo Pack of,3.8,Women,442,998,55.71%
389,ROYCE-2 Running Shoes,4.2,Men,949,1049,9.53%
390,Walking Shoes For,3.8,,424,499,15.03%
391,Slippers,3,Men,399,999,60.06%
392,Mojari Bellies For,3.7,Women,270,499,45.89%
393,Jutis For Women,3.9,Women,199,799,75.09%
394,Women's Combo Pack,4,Women,592,798,25.81%
395,Blackwood n Running,3.8,Men,419,999,58.06%
396,TREAD REVOLUTION ADV,3.9,Men,1047,2299,54.46%
397,Women SL-123 Magenta,4.3,Women,836,899,7.01%
398,DRAGON LADIES Running,4.1,Women,1499,1699,11.77%
399,New Fashionable Waterproof,4,Women,399,799,50.06%
400,sneaker men red,4,Men,275,499,44.89%
401,Perfect Stylish Casual,4.1,Women,444,999,55.56%
402,Slides,4.1,Women,345,795,56.60%
403,Zod Runner NM,4.1,Men,2083,4016,50.01%
404,Mojaris For Men,3.8,Men,426,999,57.36%
405,Women Pink Heels,4.1,Women,599,1299,53.89%
406,Men's Formal Lace,4.2,Men,698,699,0.14%
407,Flip Flops,3.3,Women,169,499,66.13%
408,Pacific Maze Wn,4.3,Women,3998,3999,0.03%
409,Slip On For,5,Women,349,899,61.18%
410,Women Grey Flats,4.8,Women,349,899,61.18%
411,Gliders (from Liberty),4.3,Women,499,499,0.00%
412,Designer Loafers For,4,Men,315,499,36.87%
413,Slides,4,Men,399,499,20.04%
414,Trendy look Men's,3.6,Men,199,499,60.12%
415,Men's Running Shoes,3.8,Men,299,1499,80.05%
416,Jutis For Women,3.9,Women,284,499,43.09%
417,women bellies Loafers,4,Women,549,999,45.05%
418,Jutis For Men,4.2,Men,525,937,52.55%
419,"Perfect Stylish,Trending High",4.3,Women,365,999,63.46%
420,Flip Flops,3.4,Women,330,499,33.87%
421,Designer Nagra Mojaris,3.9,Men,434,499,13.03%
422,Court Star Vulc,4.2,Women,1574,5999,73.76%
423,Rajasthani Jaipuri Partywear,3.9,Women,199,499,60.12%
424,Monk Strap For,3,Men,1199,1999,40.02%
425,Cushioned Athletic Running,4,Men,739,1299,43.11%
426,Jutis For Men,4.4,Men,388,599,35.23%
427,Combo Pack Of,4.1,Men,759,3999,81.02%
428,Sports Mesh Running,4,Women,756,899,15.91%
429,Totu Womens Black,3.8,Women,199,499,60.12%
430,Women Gold Wedges,3.7,Women,444,499,11.02%
431,Genuine Leather Formal,3.9,Men,949,2999,68.36%
432,Comfortable Stylish Latest,4.1,Women,599,999,40.04%
433,Women Brown Flats,4.2,Women,159,452,58.43%
434,Flip Flops,4.1,Women,344,999,65.57%
435,Women Pink Wedges,4.1,Women,459,999,54.05%
436,Men Grey Clogs,3.9,Men,485,999,51.45%
437,Women Pink Heels,4,Women,355,799,55.57%
438,Mojari Jutis For,4,Women,260,499,47.90%
439,Women White Heels,3.9,Women,331,999,66.87%
440,Boots For Women,4.3,Women,469,999,53.05%
441,Women Black Wedges,4.1,Women,426,1085,60.06%
442,Breathable Cloth Surface,3.8,Men,379,1123,66.25%
443,Boots For Women,3.8,Women,3519,6099,42.30%
444,Flip Flops,4,Men,188,634,62.12%
445,BECKEN PLAIN BLACK,4.4,Men,2499,4999,50.01%
446,Mojaris For Men,4.2,Men,449,999,55.06%
447,COMBO-PF1-WHITE-PF1-BLACK Casuals For,4.1,Men,699,1998,65.02%
448,"Latest Collection, Comfortable",3.9,Women,449,999,55.06%
449,Men's Cream Gold,3.2,Men,1895,2195,13.67%
450,Black Formal Shoe,4,Men,435,999,56.46%
451,Smash v2 Buck,4.8,Women,2088,3499,40.33%
452,Flip Flops,3.8,Men,854,1499,43.03%
453,KENT Running Shoes,4.2,Men,999,1412,19.25%
454,"Women Black, Blue",4.4,Women,948,1020,7.06%
455,Royal Look Party,4.2,Men,799,1299,38.49%
456,Fashionable casual sneakers,3.7,Men,549,3999,86.27%
457,Women Black Heels,4.1,Women,599,999,40.04%
458,Nagra for Men,4.2,Men,474,999,52.55%
459,Women Pink Flats,3.7,Women,284,999,71.57%
460,Women Beige Wedges,4.3,Women,1048,2295,54.34%
461,Denill Ankle Length,4.1,Women,475,999,52.45%
462,Stylish & Fashionable,4.1,Women,419,999,58.06%
463,Bellies For Women,3.6,Women,298,599,50.25%
464,Wedding and Party,3.8,Men,499,999,50.05%
465,TRAVELLAR LP Running,4.2,Men,1500,2999,49.98%
466,Unistar Men's Boots,4.2,Men,499,799,37.55%
467,Women Black Wedges,3.3,Women,314,449,30.07%
468,Flip Flops,3.8,Men,317,799,60.33%
469,Kolhapuris For Men,4.1,Men,307,999,69.27%
470,Women Beige Wedges,4.4,Women,372,699,46.78%
471,Sneakers For Men,4.2,Men,630,749,15.89%
472,Walking Shoes For,3.6,Women,664,1499,55.70%
473,Synthetic Leather Casual,4.2,Women,594,1199,50.46%
474,Walking Shoes For,4.1,Women,664,999,33.53%
475,Bellies For Women,3.6,Women,199,499,60.12%
476,"Men Navy, Orange",3.7,Men,199,799,75.09%
477,Men Olive Casual,4.1,Men,1784,2695,33.80%
478,Women's Jutis Mojri,4.2,Women,322,599,46.24%
479,Men Brown Sandal,3.5,Men,499,999,50.05%
480,Lace Up For,3.8,Men,476,1399,65.98%
481,Bellies For Women,4,Women,599,1499,60.04%
482,Sneakers For Women,4.1,Women,449,999,55.06%
483,Latest Collection For,4.1,Women,239,499,52.10%
484,Slip On For,3.9,Men,319,999,68.07%
485,Women Navy Heels,4.2,Women,586,649,9.71%
486,Men Hawaii Flip,3.7,Men,216,499,56.71%
487,Flip Flops,4.4,Women,474,999,52.55%
488,0257 Slip On,3.9,Men,322,999,67.77%
489,SM-171 Running Shoes,4.2,Men,1049,1499,30.02%
490,Men Blue Casual,4,,1000,1299,23.02%
491,"Casual shoes,Running shoes,Walking",4.1,Women,591,840,33.96%
492,Derby For Men,3.9,Men,765,999,23.42%
493,Flip Flops,3.9,Women,209,499,58.12%
494,Women Brown Heels,4.2,Women,864,1299,33.49%
495,Women Beige Heels,3.9,Women,999,1499,33.36%
496,Men 201 Casuals,3.9,Men,229,1299,82.37%
497,Slides,4.4,Women,463,799,42.05%
498,Slip On For,3.9,,474,999,52.55%
499,Synthetic Leather Casual,4.2,Women,594,1499,60.37%
500,Combo Pack of,3.4,Women,663,1499,55.77%
501,Slip On For,4.3,Women,740,999,25.93%
502,Women Brown Wedges,4.1,Women,1743,2490,30.00%
